L1 Language,N Samples,N Errors,False Positives,FPR,Mean AI Prob,Std AI Prob,Median AI Prob
Arabic,100,0,78,0.78,0.6109814215824008,0.19917391209510074,0.6606319844722748
Chinese,100,0,86,0.86,0.6816180573590099,0.16749131824351526,0.7267470359802246
English,28,0,26,0.9285714285714286,0.7012190329177039,0.14428962855371674,0.7247598767280579
French,70,0,60,0.8571428571428571,0.6590506403573921,0.1681474890952347,0.6808122992515564
Japanese,100,0,86,0.86,0.6713548673689366,0.18040806365230566,0.6961844265460968
Korean,100,0,83,0.83,0.6704975625872612,0.20130826379007055,0.7306654453277588
Spanish,100,0,93,0.93,0.6794683696329593,0.15090152739624904,0.7014252543449402
Thai,100,0,92,0.92,0.6988367715477943,0.16529258392454582,0.7195453643798828
Turkish,100,0,74,0.74,0.6168014387041331,0.18920464834335263,0.67656409740448
